변환,국내총생산,국내총소득
2013,"1,570,938.20","1,580,503.90"
2014,"1,638,484.80","1,646,049.10"
2015,"1,740,776","1,745,962.10"
2016,"1,833,026.60","1,839,390.50"
2017,"1,934,233.90","1,941,716.50"
2018,"2,006,974.50","2,014,588.50"
2019,"2,040,594.30","2,057,204.10"
2020,"2,058,466.50","2,075,410.30"
2021,"2,221,912.90","2,245,326.50"
2022,"2,323,781.50","2,351,837"
2023,"2,408,687.40","2,443,361.90"
2024,"2,556,857.40","2,593,762"
2025,"2,663,342.60","2,709,101"
