변환,한국은행 기준금리,소비자물가 총지수,근원 소비자물가지수 (식료품 및 에너지제외 지수),생활물가지수,통화량(M2),통화량(M1),경제활동인구 실업률(원계열),경제활동인구 실업률(계절조정),전산업생산지수(원계열),전산업생산지수(계절조정),현재가계부채CSI,주택매매가격지수
Jul-24,3.5,114.13,111.27,116.36,"3,823,839.50","1,224,178.20",2.5,2.7,111.3,112.5,100,98.473
Aug-24,3.5,114.54,111.4,116.96,"3,834,303.60","1,226,340.20",1.9,2.6,111,114.3,101,98.585
Sep-24,3.5,114.65,111.18,117.45,"3,850,412.10","1,232,426.80",2.1,2.6,110.9,113.6,100,98.743
Oct-24,3.25,114.69,111.39,117.51,"3,857,079.50","1,237,561.40",2.3,2.8,114.2,114.9,101,98.831
Nov-24,3,114.4,111.44,117.06,"3,877,862.70","1,247,613.20",2.2,2.8,114.2,113.5,100,98.859
Dec-24,3,114.91,111.59,117.34,"3,900,070.90","1,261,043.00",3.8,3.1,128.2,115.1,101,98.773
Mar-25,2.75,116.29,112.52,119.47,"3,914,432.40","1,269,749.10",3.1,2.8,118.1,115.3,100,98.522
Jan-25,3,115.71,112.14,118.52,"3,923,921.40","1,274,611.90",3.7,2.8,107.2,114.1,100,98.652
Apr-25,2.75,116.38,112.93,119.37,"3,930,054.00","1,269,335.30",2.9,2.7,114.4,115.1,100,98.554
Feb-25,2.75,116.08,112.29,119.29,"3,930,083.50","1,271,548.20",3.2,2.8,107.4,114.6,99,98.555
May-25,2.5,116.27,113.1,119.2,"3,955,598.20","1,273,255.70",2.8,2.7,113.5,114,98,98.6
Jun-25,2.5,116.31,113.17,119.22,"3,975,331.00","1,276,797.80",2.8,2.7,118.3,116,99,98.734
Jul-25,2.5,116.52,113.47,119.22,"3,994,033.30","1,291,557.00",2.4,2.7,114.4,115.6,99,98.896
Aug-25,2.5,116.45,112.84,118.68,"4,038,516.10","1,306,093.40",2,2.8,111.2,115.5,99,98.938
Oct-25,2.5,117.42,113.79,120.45,"4,057,900.50","1,327,874.60",2.2,2.7,110.2,114.3,99,99.22
Sep-25,2.5,117.06,113.36,120.39,"4,059,768.70","1,319,108.50",2.1,2.7,119.8,116.9,99,99.013
Nov-25,2.5,117.2,113.64,120.4,"4,062,260.60","1,332,901.60",2.2,2.8,115,115.1,98,99.521
Dec-25,2.5,117.57,113.83,120.6,"4,081,265.90","1,338,585.60",4.1,3.3,130.9,116.5,99,99.806
Jan-26,2.5,118.03,114.41,121.1,"4,113,407.10","1,356,811.30",4.1,3,112.4,115.6,99,100
Feb-26,2.5,118.4,114.87,121.49,"4,113,983.80","1,357,755.20",3.4,2.9,107.5,118,99,100.299
Mar-26,2.5,118.8,114.98,122.24,,,3,2.7,122.2,118.3,99,100.647
Apr-26,,,,,,,,,,,99,100.871
